skate punk,19.05255888325765,(196, 156, 148)
trance,19.05255888325765,(255, 187, 120)
viral pop,19.05255888325765,(31, 119, 180)
australian alternative rock,18.2414363469547,(255, 127, 14)
ccm,18.2414363469547,(255, 127, 14)
chill-out,18.2414363469547,(255, 187, 120)
christian alternative rock,18.2414363469547,(255, 127, 14)
christian music,18.2414363469547,(255, 127, 14)
dreamo,18.2414363469547,(148, 103, 189)
electroclash,18.2414363469547,(255, 187, 120)
lilith,18.2414363469547,(197, 176, 213)
madchester,18.2414363469547,(255, 127, 14)
old school hip hop,18.2414363469547,(174, 199, 232)
progressive rock,18.2414363469547,(255, 127, 14)
rockabilly,18.2414363469547,(255, 127, 14)
acoustic pop,17.392527130926087,(31, 119, 180)
argentine rock,17.392527130926087,(255, 127, 14)
brazilian gospel,17.392527130926087,(148, 103, 189)
brazilian hip hop,17.392527130926087,(174, 199, 232)
brazilian punk,17.392527130926087,(148, 103, 189)
brill building pop,17.392527130926087,(31, 119, 180)
britpop,17.392527130926087,(31, 119, 180)
cabaret,17.392527130926087,(227, 119, 194)
canadian pop,17.392527130926087,(31, 119, 180)
chicago soul,17.392527130926087,(44, 160, 44)
christian rock,17.392527130926087,(255, 127, 14)
downtempo,17.392527130926087,(255, 187, 120)
freak folk,17.392527130926087,(197, 176, 213)
gospel,17.392527130926087,(44, 160, 44)
merengue,17.392527130926087,(152, 223, 138)
rock 'n roll,17.392527130926087,(255, 127, 14)
salsa,17.392527130926087,(152, 223, 138)
soul blues,17.392527130926087,(140, 86, 75)
southern soul,17.392527130926087,(44, 160, 44)
traditional country,17.392527130926087,(214, 39, 40)
traditional folk,17.392527130926087,(197, 176, 213)
trip hop,17.392527130926087,(255, 187, 120)
underground hip hop,17.392527130926087,(174, 199, 232)
uplifting trance,17.392527130926087,(255, 187, 120)
vocal jazz,17.392527130926087,(227, 119, 194)
worship,17.392527130926087,(255, 127, 14)
british invasion,16.5,(255, 127, 14)
comic,16.5,(255, 127, 14)
dream pop,16.5,(31, 119, 180)
eurodance,16.5,(255, 187, 120)
glam metal,16.5,(255, 152, 150)
grime,16.5,(255, 187, 120)
hi nrg,16.5,(255, 127, 14)
jam band,16.5,(255, 127, 14)
jazz blues,16.5,(227, 119, 194)
melodic hardcore,16.5,(148, 103, 189)
melodic metalcore,16.5,(255, 152, 150)
ska punk,16.5,(196, 156, 148)
soundtrack,16.5,(247, 182, 210)
southern rock,16.5,(255, 127, 14)
space rock,16.5,(255, 127, 14)
speed metal,16.5,(255, 152, 150)
symphonic rock,16.5,(255, 127, 14)
tejano,16.5,(152, 223, 138)
vocal house,16.5,(255, 187, 120)
west coast rap,16.5,(174, 199, 232)
acid jazz,15.556349186104047,(227, 119, 194)
anti-folk,15.556349186104047,(197, 176, 213)
breakbeat,15.556349186104047,(255, 187, 120)
canadian indie,15.556349186104047,(31, 119, 180)
classical,15.556349186104047,(247, 182, 210)
country gospel,15.556349186104047,(214, 39, 40)
forro,15.556349186104047,(152, 223, 138)
future garage,15.556349186104047,(255, 187, 120)
italian pop,15.556349186104047,(31, 119, 180)
melodic death metal,15.556349186104047,(255, 152, 150)
memphis soul,15.556349186104047,(44, 160, 44)
modern blues,15.556349186104047,(140, 86, 75)
nashville sound,15.556349186104047,(214, 39, 40)
outlaw country,15.556349186104047,(214, 39, 40)
post-hardcore,15.556349186104047,(148, 103, 189)
reggae fusion,15.556349186104047,(196, 156, 148)
shiver pop,15.556349186104047,(31, 119, 180)
slow core,15.556349186104047,(31, 119, 180)
turntablism,15.556349186104047,(174, 199, 232)
alternative country,14.55163221085525,(214, 39, 40)
ambient,14.55163221085525,(255, 187, 120)
australian pop,14.55163221085525,(31, 119, 180)
boogaloo,14.55163221085525,(152, 223, 138)
comedy,14.55163221085525,(255, 127, 14)
dub,14.55163221085525,(196, 156, 148)
dutch house,14.55163221085525,(255, 187, 120)
electric blues,14.55163221085525,(140, 86, 75)
icelandic pop,14.55163221085525,(31, 119, 180)
industrial rock,14.55163221085525,(255, 127, 14)
jazz,14.55163221085525,(227, 119, 194)
k-pop,14.55163221085525,(31, 119, 180)
latin christian,14.55163221085525,(152, 223, 138)
liquid funk,14.55163221085525,(44, 160, 44)
lovers rock,14.55163221085525,(196, 156, 148)
